track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
3ZznsGB1HNDojZ00AlEQ1M,rauwedouwe,Kinderboerderij (Keiblij),['Prins S. en De Geit'],197.596,True,38,True,0.727,0.981,-3.715,129.99,0.118,0.289,0.000198,0.592,0.387
5hP8MCB0TT4ni8Jqb16Cff,1pat8ir5aqzhzvs7ygs1jp8ga,Ik Ga Naar Frankrijk,['The Amazing Stroopwafels'],141.04,False,46,True,0.626,0.601,-13.838,141.702,0.0341,0.166,0.0,0.967,0.107
6e0LjNPkRqxIAlmmdjWSV8,1pat8ir5aqzhzvs7ygs1jp8ga,Moi... Lolita,['Alizée'],264.282,False,63,True,0.628,0.888,-3.74,107.958,0.0277,0.0519,0.000191,0.577,0.233
0otIFwtEKqrDBGb3cvLRu4,1pat8ir5aqzhzvs7ygs1jp8ga,Belgie ... (Is Er Leven Op Pluto ...),['Het Goede Doel'],360.706,False,53,True,0.584,0.662,-13.559,140.926,0.0412,0.0114,0.000413,0.658,0.0741
2NhjrPCaQzDULWWZ0kOcGU,1pat8ir5aqzhzvs7ygs1jp8ga,Love Strong - Original Mix,['Moon Boots'],309.26,False,35,True,0.738,0.743,-6.303,115.018,0.0407,0.227,0.723,0.316,0.664
46LNQvIkDX7hs0M466DD6h,1pat8ir5aqzhzvs7ygs1jp8ga,Belle Hélène,['Doe Maar'],169.613,False,52,True,0.737,0.555,-10.423,137.912,0.0376,0.112,0.00023,0.976,0.0755
1fxoAloBlcKe3t49QwIL4m,1pat8ir5aqzhzvs7ygs1jp8ga,Non non rien n'a changé,['Les Poppys'],189.666,False,54,True,0.503,0.482,-7.685,83.796,0.0879,0.481,0.0,0.466,0.204
6iSm0u8DL5MqeptlsoeS90,1pat8ir5aqzhzvs7ygs1jp8ga,Frans Duits,"['Donnie', 'Frans Duijts']",172.881,False,61,True,0.842,0.678,-6.361,118.048,0.101,0.152,0.0,0.919,0.0669
7B78M515588woNjQFBdGcJ,1pat8ir5aqzhzvs7ygs1jp8ga,Heb Je Even Voor Mij,['Frans Bauer'],197.213,False,45,True,0.725,0.877,-9.118,118.01,0.0304,0.0391,0.688,0.961,0.375
0wMAsL98TGuI6eWUEocd1O,1pat8ir5aqzhzvs7ygs1jp8ga,Het Land Van,"['Lange Frans', 'Baas B']",230.44,False,41,True,0.66,0.525,-8.826,82.832,0.174,0.892,5.37e-06,0.614,0.136
20I8RduZC2PWMWTDCZuuAN,1pat8ir5aqzhzvs7ygs1jp8ga,Take Me Out,['Franz Ferdinand'],237.026,False,79,True,0.277,0.663,-8.821,104.561,0.0377,0.000409,0.00051,0.527,0.136
1fweXTF8DCmBPisEkDmZD1,1pat8ir5aqzhzvs7ygs1jp8ga,Franse les,['Bassie & Adriaan'],154.113,False,21,True,0.437,0.47,-11.517,170.226,0.0335,0.56,0.0,0.921,0.319
4CH8nmzGgqd4sokxN7dacs,1pat8ir5aqzhzvs7ygs1jp8ga,Parijs,['Kenny B'],193.059,False,56,True,0.668,0.662,-7.065,93.867,0.0914,0.194,0.0,0.437,0.383
3I6NQKu5HTi5PPvJTAA94i,1pat8ir5aqzhzvs7ygs1jp8ga,La Marseillaise,['Musique De La Garde Républicaine'],63.946,False,35,True,0.549,0.324,-10.862,122.138,0.0426,0.992,0.892,0.287,0.0923
260V7huyJrXnyYe0dFv2Fa,1pat8ir5aqzhzvs7ygs1jp8ga,Canopée,['Polo & Pan'],276.293,False,67,True,0.704,0.692,-6.558,96.005,0.0304,0.0942,0.0109,0.369,0.0922
49ErwcBYfYRPNBdRuPvpYA,1pat8ir5aqzhzvs7ygs1jp8ga,We Are Your Friends - Justice Vs Simian,"['Justice', 'Simian']",262.773,False,60,True,0.615,0.97,1.342,122.993,0.119,0.0104,0.384,0.507,0.178
1mvyqSb1tOvtVP1qfWEyPa,1pat8ir5aqzhzvs7ygs1jp8ga,1901,['Phoenix'],193.12,False,62,True,0.607,0.835,-5.427,144.087,0.0415,0.0588,4.71e-05,0.719,0.195
2Foc5Q5nqNiosCNqttzHof,1pat8ir5aqzhzvs7ygs1jp8ga,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",248.413,False,83,True,0.794,0.811,-8.966,116.047,0.038,0.0426,1.07e-06,0.862,0.101
7M13FwBAKWNa2jqcZeUhL6,1pat8ir5aqzhzvs7ygs1jp8ga,Love Generation - Radio Edit,"['Bob Sinclar', 'Gary Pine']",204.798,False,69,True,0.723,0.872,-3.617,128.038,0.0586,0.192,0.000154,0.544,0.0814
1EKdQjHLQHgJ0LTJfVJAml,1pat8ir5aqzhzvs7ygs1jp8ga,La tribu de Dana,['Manau'],287.933,False,45,True,0.67,0.804,-5.731,93.552,0.0547,0.114,0.0,0.363,0.0966
0b6mTlLYNEmHjjCnkrzDie,1pat8ir5aqzhzvs7ygs1jp8ga,Skinnyjeans,['Le Le'],262.973,False,31,True,0.866,0.612,-11.474,126.037,0.0964,0.0166,0.141,0.96,0.0386
1PiASZMKp39IsWwiiIYgPO,rauwedouwe,Ani Kuni,['Polo & Pan'],277.52,False,60,True,0.662,0.621,-6.158,120.998,0.0291,0.204,0.591,0.0477,0.0658
5DxiVa5ju8USAJpckiru3U,rauwedouwe,Mawakanda,"['James BKS', 'Ebenezer', 'Reo Cragun']",231.979,True,31,True,0.836,0.847,-5.046,126.983,0.131,0.0586,0.0,0.786,0.0833
2rSdECFt2XJXUD0Qhc3pW2,rauwedouwe,El Miraglo,['Jungle by Night'],228.285,False,31,True,0.7,0.8,-7.588,110.228,0.0296,0.0452,0.891,0.92,0.186
3sa06xVNmLLYIxdNNmVQN8,rauwedouwe,Where Did You Go? (feat. MNEK),"['Jax Jones', 'MNEK']",177.689,False,87,True,0.763,0.782,-4.541,127.034,0.0346,0.182,7.08e-06,0.502,0.293
2omQY42P8l0YVqG2vhovUO,rauwedouwe,Dimanche,"['CLAAP!', 'Santana']",273.829,False,0,True,0.802,0.329,-13.987,93.99,0.0604,0.023,0.189,0.321,0.0726
